idx,wn_id,labels,parent_wn_id,parent_labels,children_wn_ids,children_labels,depth,description,class_id,simplified,keras,coarse-grained
8414,n12077244,['rattlesnake_orchid'],n12041446,"['orchid', 'orchidaceous_plant']",[],[],12,any of various orchids of the genus Pholidota having numerous white to brown flowers in spiraling racemes clothed in slightly inflated bracts and resembling a rattlesnake's tail,-1,,,
8415,n01978930,['swimming_crab'],n01976957,['crab'],"['n01979526', 'n01979874', 'n01979269']","[['American_lady_crab', 'lady_crab', 'calico_crab', 'Ovalipes_ocellatus'], ['blue_crab', 'Callinectes_sapidus'], ['English_lady_crab', 'Portunus_puber']]",12,marine crab with some legs flattened and fringed for swimming,-1,,,
8416,n02281406,"['sulphur_butterfly', 'sulfur_butterfly']",n02274259,['butterfly'],[],[],12,any of numerous yellow or orange butterflies,325,sulphur butterfly,sulphur butterfly,butterfly
8417,n02101006,['Gordon_setter'],n02100399,['setter'],[],[],12,a Scottish breed with a black-and-tan coat,214,Gordon Setter,Gordon setter,dog
8418,n02192513,"['flesh_fly', 'Sarcophaga_carnaria']",n02190166,['fly'],[],[],12,fly whose larvae feed on carrion or the flesh of living animals,-1,,,
8419,n12074408,"['oncidium', 'dancing_lady_orchid', 'butterfly_plant', 'butterfly_orchid']",n12041446,"['orchid', 'orchidaceous_plant']",[],[],12,any orchid of the genus Oncidium: characterized by slender branching sprays of small yellow and brown flowers; often grown as houseplants,-1,,,
8420,n01980655,['pea_crab'],n01976957,['crab'],['n01980830'],"[['oyster_crab', 'Pinnotheres_ostreum']]",12,tiny soft-bodied crab living commensally in the mantles of certain bivalve mollusks,-1,,,
8421,n12078747,['tangle_orchid'],n12041446,"['orchid', 'orchidaceous_plant']",[],[],12,an orchid of the genus Plectorrhiza having tangled roots and long wiry stems bearing lax racemes of small fragrant green flowers,-1,,,
8422,n01642097,"['goliath_frog', 'Rana_goliath']",n01640846,"['true_frog', 'ranid']",[],[],12,largest living frog; up to a foot and weighing up to 10 lbs; Africa,-1,,,
8423,n02101556,"['clumber', 'clumber_spaniel']",n02101108,['spaniel'],[],[],12,a thickset spaniel with longish silky hair,216,Clumber Spaniel,clumber,dog
8424,n03346289,"[""fireman's_ax"", ""fireman's_axe""]",n02764044,"['ax', 'axe']",[],[],12,an ax that has a long handle and a head with one cutting edge and a point on the other side,-1,,,
8425,n01606177,"['tiercel', 'tercel', 'tercelet']",n01605630,['hawk'],[],[],12,male hawk especially male peregrine or gyrfalcon,-1,,,
8426,n01614343,"['golden_eagle', 'Aquila_chrysaetos']",n01613294,"['eagle', 'bird_of_Jove']",['n01614690'],[['ringtail']],12,large eagle of mountainous regions of the northern hemisphere having a golden-brown head and neck,-1,,,
8427,n12085267,['stelis'],n12041446,"['orchid', 'orchidaceous_plant']",[],[],12,any of various small tropical American orchids of the genus Stelis having long slender racemes of numerous small to minute flowers,-1,,,
8428,n02090622,"['borzoi', 'Russian_wolfhound']",n02090475,['wolfhound'],[],[],12,tall fast-moving dog breed,169,borzoi,borzoi,dog
8429,n03549473,['hunting_knife'],n03623556,['knife'],[],[],12,a large sharp knife with a handle shaped to fit the grip,-1,,,
8430,n02199502,"['horn_fly', 'Haematobia_irritans']",n02190166,['fly'],[],[],12,small black European fly introduced into North America; sucks blood from cattle especially at the base of the horn,-1,,,
8431,n02537085,['trout'],n02512938,['food_fish'],"['n02538216', 'n02537319', 'n02538010', 'n02537525']","[['brook_trout', 'speckled_trout', 'Salvelinus_fontinalis'], ['brown_trout', 'salmon_trout', 'Salmo_trutta'], ['lake_trout', 'salmon_trout', 'Salvelinus_namaycush'], ['rainbow_trout', 'Salmo_gairdneri']]",12,any of various game and food fishes of cool fresh waters mostly smaller than typical salmons,-1,,,
8432,n01607429,"['redtail', 'red-tailed_hawk', 'Buteo_jamaicensis']",n01605630,['hawk'],[],[],12,dark brown American hawk species having a reddish-brown tail,-1,,,
8433,n03061345,['cockleshell'],n04244997,['small_boat'],[],[],12,a small light flimsy boat,-1,,,
8434,n01917289,['brain_coral'],n01916925,"['stony_coral', 'madrepore', 'madriporian_coral']",[],[],12,massive reef-building coral having a convoluted and furrowed surface,109,brain coral,brain coral,coral
8435,n04574348,['whaleboat'],n04158807,['sea_boat'],[],[],12,a long narrow boat designed for quick turning and use in rough seas,-1,,,
8436,n02369293,['mole_rat'],n02329401,"['rodent', 'gnawer']",[],[],12,African rodent resembling a mole in habits and appearance,-1,,,
8437,n03416775,"['Garand_rifle', 'Garand', 'M-1', 'M-1_rifle']",n04090263,['rifle'],[],[],12,a semiautomatic rifle,-1,,,
8438,n12075830,"[""Venus'_slipper"", ""Venus's_slipper"", ""Venus's_shoe""]",n12041446,"['orchid', 'orchidaceous_plant']",[],[],12,any of various orchids of the genus Paphiopedilum having slender flower stalks bearing 1 to several waxy flowers with pouchlike lips,-1,,,
8439,n01859190,"['mute_swan', 'Cygnus_olor']",n01858441,['swan'],[],[],12,soundless Eurasian swan; commonly domesticated,-1,,,
8440,n03660562,['Liberty_ship'],n02965300,"['cargo_ship', 'cargo_vessel']",[],[],12,a slow cargo ship built during World War II,-1,,,
8441,n02230187,"['field_cricket', 'Acheta_assimilis']",n02229544,['cricket'],[],[],12,common American black cricket; attacks crops and also enters dwellings,-1,,,
8442,n12056099,['cypripedia'],n12041446,"['orchid', 'orchidaceous_plant']",[],[],12,a plant or flower of the genus Cypripedium,-1,,,
8443,n01610552,"['harrier_eagle', 'short-toed_eagle']",n01605630,['hawk'],[],[],12,any of numerous large Old World hawks intermediate in some respects between typical hawks and typical eagles,-1,,,
8444,n02167820,['calosoma'],n02167151,"['ground_beetle', 'carabid_beetle']",['n02167944'],"[['searcher', 'searcher_beetle', 'Calosoma_scrutator']]",12,any beetle of the genus Calosoma,-1,,,
8445,n01588431,['New_Zealand_wren'],n01525720,"['oscine', 'oscine_bird']","['n01588996', 'n01588725']","[['rifleman_bird', 'Acanthisitta_chloris'], ['rock_wren', 'Xenicus_gilviventris']]",12,birds of New Zealand that resemble wrens,-1,,,
8446,n12078451,"['prairie_white-fringed_orchid', 'Platanthera_leucophea']",n12041446,"['orchid', 'orchidaceous_plant']",[],[],12,of central North America; a threatened species,-1,,,
8447,n12044467,['aerides'],n12041446,"['orchid', 'orchidaceous_plant']",[],[],12,any orchid of the genus Aerides,-1,,,
8448,n02338901,"['wood_rat', 'wood-rat']",n02329401,"['rodent', 'gnawer']","['n02339282', 'n02340358', 'n02339922', 'n02339376']","[['dusky-footed_wood_rat'], ['eastern_woodrat', 'Neotoma_floridana'], ['packrat', 'pack_rat', 'trade_rat', 'bushytail_woodrat', 'Neotoma_cinerea'], ['vole', 'field_mouse']]",12,any of various small short-tailed rodents of the northern hemisphere having soft fur grey above and white below with furred tails and large ears; some are hosts for Ixodes pacificus and Ixodes scapularis (Lyme disease ticks),-1,,,
8449,n02208280,"['honeybee', 'Apis_mellifera']",n02206856,['bee'],"['n02208498', 'n02208848', 'n02208979', 'n02209111']","[['Africanized_bee', 'Africanized_honey_bee', 'killer_bee', 'Apis_mellifera_scutellata', 'Apis_mellifera_adansonii'], ['black_bee', 'German_bee'], ['Carniolan_bee'], ['Italian_bee']]",12,social bee often domesticated for the honey it produces,-1,,,
8450,n04185329,['sharpie'],n04128499,"['sailboat', 'sailing_boat']",[],[],12,"a shallow-draft sailboat with a sharp prow, flat bottom, and triangular sail; formerly used along the northern Atlantic coast of the United States",-1,,,
8451,n01642391,"['tarahumara_frog', 'Rana_tarahumarae']",n01640846,"['true_frog', 'ranid']",[],[],12,Mexican frog found within a jump or two of water,-1,,,
8452,n01883070,['wombat'],n01874434,"['marsupial', 'pouched_mammal']",[],[],12,burrowing herbivorous Australian marsupials about the size of a badger,106,wombat,wombat,marsupial
8453,n02265330,"['brown_lacewing', 'hemerobiid', 'hemerobiid_fly']",n02264363,"['lacewing', 'lacewing_fly']",[],[],12,small dark-colored lacewing fly,-1,,,
8454,n12076577,"['moth_orchid', 'moth_plant']",n12041446,"['orchid', 'orchidaceous_plant']",['n12076852'],"[['butterfly_plant', 'Phalaenopsis_amabilis']]",12,any of various orchids of the genus Phalaenopsis having often drooping glossy broad obovate or oval leaves usually dark green flushed purple or mottled grey and silver,-1,,,
8455,n12047345,['brassavola'],n12041446,"['orchid', 'orchidaceous_plant']",[],[],12,any of various tropical American orchids with usually solitary fleshy leaves and showy white to green nocturnally fragrant blossoms solitary or in racemes of up to 7,-1,,,
8456,n02016816,"['moorhen', 'Gallinula_chloropus']",n02016358,"['gallinule', 'marsh_hen', 'water_hen', 'swamphen']",[],[],12,black gallinule that inhabits ponds and lakes,-1,,,
8457,n02019929,"['button_quail', 'button-quail', 'bustard_quail', 'hemipode']",n02000954,"['wading_bird', 'wader']",['n02020219'],"[['striped_button_quail', 'Turnix_sylvatica']]",12,small quail-like terrestrial bird of southern Eurasia and northern Africa that lacks a hind toe; classified with wading birds but inhabits grassy plains,-1,,,
8458,n02323902,"['leporid', 'leporid_mammal']",n02323449,"['lagomorph', 'gnawing_mammal']","['n02326432', 'n02324045']","[['hare'], ['rabbit', 'coney', 'cony']]",12,rabbits and hares,-1,,,
8459,n02626762,"['tuna', 'tunny']",n02512938,['food_fish'],"['n02627037', 'n02627292', 'n02627532']","[['albacore', 'long-fin_tunny', 'Thunnus_alalunga'], ['bluefin', 'bluefin_tuna', 'horse_mackerel', 'Thunnus_thynnus'], ['yellowfin', 'yellowfin_tuna', 'Thunnus_albacares']]",12,any very large marine food and game fish of the genus Thunnus; related to mackerel; chiefly of warm waters,-1,,,
8460,n01616551,"['Aegypiidae', 'family_Aegypiidae']",n01616318,['vulture'],[],[],12,in some classifications considered the family comprising the Old World vultures which are more often included in the family Accipitridae,-1,,,
8461,n01824575,['coucal'],n01823013,['cuckoo'],"['n01824749', 'n01824862']","[['crow_pheasant', 'Centropus_sinensis'], ['pheasant_coucal', 'pheasant_cuckoo', 'Centropus_phasianinus']]",12,Old World ground-living cuckoo having a long dagger-like hind claw,91,coucal,coucal,bird
8462,n01631175,['Pacific_newt'],n01630284,"['newt', 'triton']","['n01631512', 'n01631354']","[['California_newt', 'Taricha_torosa'], ['rough-skinned_newt', 'Taricha_granulosa']]",12,any of several rough-skinned newts found in western North America,-1,,,
8463,n02352591,['dormouse'],n02329401,"['rodent', 'gnawer']","['n02353172', 'n02353411', 'n02352932']","[['hazel_mouse', 'Muscardinus_avellanarius'], ['lerot'], ['loir', 'Glis_glis']]",12,small furry-tailed squirrel-like Old World rodent that becomes torpid in cold weather,-1,,,
8464,n02014524,"['chunga', 'seriema', 'Chunga_burmeisteri']",n02000954,"['wading_bird', 'wader']",[],[],12,Argentinian Cariama,-1,,,
8465,n02366002,"['agouti', 'Dasyprocta_aguti']",n02329401,"['rodent', 'gnawer']",[],[],12,agile long-legged rabbit-sized rodent of Central America and South America and the West Indies; valued as food,-1,,,
8466,n03845190,"['oil_tanker', 'oiler', 'tanker', 'tank_ship']",n02965300,"['cargo_ship', 'cargo_vessel']",['n04359034'],[['supertanker']],12,a cargo ship designed to carry crude oil in bulk,-1,,,
8467,n04615149,['zip_gun'],n03948459,"['pistol', 'handgun', 'side_arm', 'shooting_iron']",[],[],12,a crude homemade pistol,-1,,,
8468,n01874928,"['opossum', 'possum']",n01874434,"['marsupial', 'pouched_mammal']","['n01875313', 'n01875610']","[['common_opossum', 'Didelphis_virginiana', 'Didelphis_marsupialis'], ['crab-eating_opossum']]",12,nocturnal arboreal marsupial having a naked prehensile tail found from southern North America to northern South America,-1,,,
8469,n02230480,['tree_cricket'],n02229544,['cricket'],['n02230634'],"[['snowy_tree_cricket', 'Oecanthus_fultoni']]",12,pale arboreal American cricket noted for loud stridulation,-1,,,
8470,n03595860,"['jet', 'jet_plane', 'jet-propelled_plane']",n02691156,"['airplane', 'aeroplane', 'plane']","['n03321419', 'n03596543', 'n03604311', 'n04503499']","[['fanjet', 'fan-jet', 'turbofan', 'turbojet'], ['jetliner'], ['jumbojet', 'jumbo_jet'], ['twinjet']]",12,an airplane powered by one or more jet engines,-1,,,
8471,n01806061,"['peachick', 'pea-chick']",n01805801,"['peafowl', 'bird_of_Juno']",[],[],12,a young peafowl,-1,,,
8472,n01978587,"['Jonah_crab', 'Cancer_borealis']",n01976957,['crab'],[],[],12,large red deep-water crab of the eastern coast of North America,-1,,,
8473,n02530421,['shad'],n02529772,"['clupeid_fish', 'clupeid']","['n02530999', 'n02530637', 'n02530831']","[['allice_shad', 'allis_shad', 'allice', 'allis', 'Alosa_alosa'], ['common_American_shad', 'Alosa_sapidissima'], ['river_shad', 'Alosa_chrysocloris']]",12,herring-like food fishes that migrate from the sea to fresh water to spawn,-1,,,
8474,n02101388,['Brittany_spaniel'],n02101108,['spaniel'],[],[],12,tall active short-tailed French breed of bird dog having a usually smooth orange- or liver-and-white coat,215,Brittany Spaniel,Brittany spaniel,dog
8475,n12070712,"['fen_orchid', 'fen_orchis', 'Liparis_loeselii']",n12041446,"['orchid', 'orchidaceous_plant']",[],[],12,small terrestrial orchid of eastern North America and Europe having two nearly basal leaves and dull yellow-green racemose flowers,-1,,,
8476,n02102318,"['cocker_spaniel', 'English_cocker_spaniel', 'cocker']",n02101108,['spaniel'],[],[],12,a small breed with wavy silky hair; originally developed in England,219,Cocker Spaniels,cocker spaniel,dog
8477,n01642539,"['grass_frog', 'Rana_temporaria']",n01640846,"['true_frog', 'ranid']",[],[],12,a common semiterrestrial European frog,-1,,,
8478,n01594372,['swallow'],n01525720,"['oscine', 'oscine_bird']","['n01594787', 'n01594968', 'n01595624', 'n01595168', 'n01595450']","[['barn_swallow', 'chimney_swallow', 'Hirundo_rustica'], ['cliff_swallow', 'Hirundo_pyrrhonota'], ['martin'], ['tree_swallow', 'tree_martin', 'Hirundo_nigricans'], ['white-bellied_swallow', 'tree_swallow', 'Iridoprocne_bicolor']]",12,small long-winged songbird noted for swift graceful flight and the regularity of its migrations,-1,,,
8479,n02095314,['wire-haired_fox_terrier'],n02095050,['fox_terrier'],[],[],12,a fox terrier with wiry hair,188,Wire Fox Terrier,wire-haired fox terrier,dog
8480,n12053405,['coral_root'],n12041446,"['orchid', 'orchidaceous_plant']","['n12054195', 'n12053690', 'n12053962']","[['early_coral_root', 'pale_coral_root', 'Corallorhiza_trifida'], ['spotted_coral_root', 'Corallorhiza_maculata'], ['striped_coral_root', 'Corallorhiza_striata']]",12,a wildflower of the genus Corallorhiza growing from a hard mass of rhizomes associated with a fungus that aids in absorbing nutrients from the forest floor,-1,,,
8481,n12144580,['corn'],n12157056,['kernel'],[],[],12,the dried grains or kernels or corn used as animal feed or ground for meal,987,corn,corn,food
8482,n02794368,['barong'],n03623556,['knife'],[],[],12,a knife resembling a cleaver; used in the Philippines,-1,,,
8483,n01642257,"['pickerel_frog', 'Rana_palustris']",n01640846,"['true_frog', 'ranid']",[],[],12,a meadow frog of eastern North America,-1,,,
8484,n12058630,['marsh_orchid'],n12041446,"['orchid', 'orchidaceous_plant']",[],[],12,any of several orchids of the genus Dactylorhiza having fingerlike tuberous roots; Europe and Mediterranean region,-1,,,
8485,n02458517,"['megatherian', 'megatheriid', 'megatherian_mammal']",n02453611,['edentate'],['n02458822'],"[['ground_sloth', 'megathere']]",12,a large extinct ground sloth,-1,,,
8486,n12049562,"['calypso', 'fairy-slipper', 'Calypso_bulbosa']",n12041446,"['orchid', 'orchidaceous_plant']",[],[],12,rare north temperate bog orchid bearing a solitary white to pink flower marked with purple at the tip of an erect reddish stalk above 1 basal leaf,-1,,,
8487,n02169705,['flea_beetle'],n02169497,"['leaf_beetle', 'chrysomelid']",[],[],12,any small leaf beetle having enlarged hind legs and capable of jumping,-1,,,
8488,n01625121,"['laughing_owl', 'laughing_jackass', 'Sceloglaux_albifacies']",n01621127,"['owl', 'bird_of_Minerva', 'bird_of_night', 'hooter']",[],[],12,almost extinct owl of New Zealand,-1,,,
8489,n04530456,"['Very_pistol', 'Verey_pistol']",n03948459,"['pistol', 'handgun', 'side_arm', 'shooting_iron']",[],[],12,a pistol for firing Very-light flares,-1,,,
8490,n01623706,['scops_owl'],n01621127,"['owl', 'bird_of_Minerva', 'bird_of_night', 'hooter']","['n01624115', 'n01624212']","[['Old_World_scops_owl', 'Otus_scops'], ['Oriental_scops_owl', 'Otus_sunia']]",12,any of several small owls having ear tufts and a whistling call,-1,,,
8491,n02220518,"['army_ant', 'driver_ant', 'legionary_ant']",n02219486,"['ant', 'emmet', 'pismire']",[],[],12,tropical nomadic ant that preys mainly on other insects,-1,,,
8492,n02234355,"['American_cockroach', 'Periplaneta_americana']",n02233338,"['cockroach', 'roach']",[],[],12,large reddish brown free-flying cockroach originally from southern United States but now widely distributed,-1,,,
8493,n02532028,"['herring', 'Clupea_harangus']",n02529772,"['clupeid_fish', 'clupeid']","['n02532272', 'n02532451']","[['Atlantic_herring', 'Clupea_harengus_harengus'], ['Pacific_herring', 'Clupea_harengus_pallasii']]",12,commercially important food fish of northern waters of both Atlantic and Pacific,-1,,,
8494,n02040505,['coastal_diving_bird'],n02021795,"['seabird', 'sea_bird', 'seafowl']","['n02044178', 'n02041085', 'n02043808']","[['jaeger'], ['larid'], ['skimmer']]",12,gull family; skimmer family; jaeger family; auk family,-1,,,
8495,n12045157,['jewel_orchid'],n12041446,"['orchid', 'orchidaceous_plant']",[],[],12,any of several delicate Asiatic orchids grown especially for their velvety leaves with metallic white or gold veining,-1,,,
8496,n02507649,['procyonid'],n02075296,['carnivore'],"['n02508742', 'n02509515', 'n02510455', 'n02509197', 'n02509815', 'n02508021']","[['bassarisk', 'cacomistle', 'cacomixle', 'coon_cat', 'raccoon_fox', 'ringtail', 'ring-tailed_cat', 'civet_cat', ""miner's_cat"", 'Bassariscus_astutus'], ['coati', 'coati-mondi', 'coati-mundi', 'coon_cat', 'Nasua_narica'], ['giant_panda', 'panda', 'panda_bear', 'coon_bear', 'Ailuropoda_melanoleuca'], ['kinkajou', 'honey_bear', 'potto', 'Potos_flavus', 'Potos_caudivolvulus'], ['lesser_panda', 'red_panda', 'panda', 'bear_cat', 'cat_bear', 'Ailurus_fulgens'], ['raccoon', 'racoon']]",12,plantigrade carnivorous mammals,-1,,,
8497,n02368399,"['abrocome', 'chinchilla_rat', 'rat_chinchilla']",n02329401,"['rodent', 'gnawer']",[],[],12,ratlike rodent with soft fur and large ears of the Andes,-1,,,
8498,n02331842,['murine'],n02329401,"['rodent', 'gnawer']",[],[],12,a rodent that is a member of the family Muridae,-1,,,
8499,n04506688,"['ultramicroscope', 'dark-field_microscope']",n03667829,['light_microscope'],[],[],12,light microscope that uses scattered light to show particles too small to see with ordinary microscopes,-1,,,
8500,n01632601,"['tiger_salamander', 'Ambystoma_tigrinum']",n01632047,"['ambystomid', 'ambystomid_salamander']",[],[],12,widely distributed brown or black North American salamander with vertical yellowish blotches,-1,,,
8501,n02878222,"['bottom', 'freighter', 'merchantman', 'merchant_ship']",n02965300,"['cargo_ship', 'cargo_vessel']",[],[],12,a cargo ship,-1,,,
8502,n12073554,['pansy_orchid'],n12041446,"['orchid', 'orchidaceous_plant']",[],[],12,any of various orchids of the genus Miltonia having solitary or loosely racemose showy broadly spreading flowers,-1,,,
8503,n02366579,['mountain_paca'],n02329401,"['rodent', 'gnawer']",[],[],12,rodent of mountains of western South America,-1,,,
8504,n02976123,"['case_knife', 'sheath_knife']",n03623556,['knife'],[],[],12,a knife with a fixed blade that is carried in a sheath,-1,,,
8505,n02099267,['flat-coated_retriever'],n02099029,['retriever'],[],[],12,an English breed having a shiny black or liver-colored coat; retrieves game from land or water,205,Flat-Coated Retriever,flat-coated retriever,dog
8506,n02099849,['Chesapeake_Bay_retriever'],n02099029,['retriever'],[],[],12,American breed having a short thick oily coat ranging from brown to light tan,209,Chesapeake Bay Retriever,Chesapeake Bay retriever,dog
8507,n02831335,['berlin'],n03670208,"['limousine', 'limo']",[],[],12,a limousine with a glass partition between the front and back seats,-1,,,
8508,n02233943,"['oriental_cockroach', 'oriental_roach', 'Asiatic_cockroach', 'blackbeetle', 'Blatta_orientalis']",n02233338,"['cockroach', 'roach']",[],[],12,dark brown cockroach originally from orient now nearly cosmopolitan in distribution,-1,,,
8509,n03890093,"['parer', 'paring_knife']",n03623556,['knife'],[],[],12,a small sharp knife used in paring fruits or vegetables,-1,,,
8510,n02364520,['cavy'],n02329401,"['rodent', 'gnawer']","['n02364840', 'n02364673']","[['aperea', 'wild_cavy', 'Cavia_porcellus'], ['guinea_pig', 'Cavia_cobaya']]",12,short-tailed rough-haired South American rodent,-1,,,
8511,n01978287,"['Dungeness_crab', 'Cancer_magister']",n01976957,['crab'],[],[],12,small edible crab of Pacific coast of North America,118,Dungeness crab,Dungeness crab,crustacean
8512,n12058822,"['common_spotted_orchid', 'Dactylorhiza_fuchsii', 'Dactylorhiza_maculata_fuchsii']",n12041446,"['orchid', 'orchidaceous_plant']",[],[],12,European orchid having lanceolate leaves spotted purple and pink to white or mauve flowers spotted or lined deep red or purple,-1,,,
8513,n02190790,"['housefly', 'house_fly', 'Musca_domestica']",n02190166,['fly'],[],[],12,common fly that frequents human habitations and spreads many diseases,-1,,,
8514,n12055073,"['swan_orchid', 'swanflower', 'swan-flower', 'swanneck', 'swan-neck']",n12041446,"['orchid', 'orchidaceous_plant']",[],[],12,any of several orchids of the genus Cycnoches having slender arching columns of flowers suggesting the neck of a swan,-1,,,
8515,n12063211,"['tongueflower', 'tongue-flower']",n12041446,"['orchid', 'orchidaceous_plant']",[],[],12,orchid having blue to purple flowers with tongue-shaped or strap-shaped protuberances (calli) at the lip base,-1,,,
8516,n02690373,['airliner'],n02691156,"['airplane', 'aeroplane', 'plane']","['n02686121', 'n03809312', 'n04583620']","[['airbus'], ['narrowbody_aircraft', 'narrow-body_aircraft', 'narrow-body'], ['widebody_aircraft', 'wide-body_aircraft', 'wide-body', 'twin-aisle_airplane']]",12,a commercial airplane that carries passengers,404,airliner,airliner,aircraft
8517,n04483307,['trimaran'],n04128499,"['sailboat', 'sailing_boat']",[],[],12,a fast sailboat with 3 parallel hulls,871,trimaran,trimaran,boat
8518,n04044716,"['radio_telescope', 'radio_reflector']",n02751295,['astronomical_telescope'],['n04042632'],[['radio_interferometer']],12,astronomical telescope that picks up electromagnetic radiations in the radio-frequency range from extraterrestrial sources,755,radio telescope,radio telescope,technology
8519,n01983048,['true_lobster'],n01982650,['lobster'],"['n01983481', 'n01983829', 'n01983674']","[['American_lobster', 'Northern_lobster', 'Maine_lobster', 'Homarus_americanus'], ['Cape_lobster', 'Homarus_capensis'], ['European_lobster', 'Homarus_vulgaris']]",12,large edible marine crustaceans having large pincers on the first pair of legs,-1,,,
8520,n01740551,"['blind_snake', 'worm_snake']",n01726692,"['snake', 'serpent', 'ophidian']",['n01740885'],"[['western_blind_snake', 'Leptotyphlops_humilis']]",12,wormlike burrowing snake of warm regions having vestigial eyes,-1,,,
8521,n01985493,"['Old_World_crayfish', 'ecrevisse']",n01985128,"['crayfish', 'crawfish', 'crawdad', 'crawdaddy']",[],[],12,small crayfish of Europe and Asia and western North America,-1,,,
8522,n02234570,"['Australian_cockroach', 'Periplaneta_australasiae']",n02233338,"['cockroach', 'roach']",[],[],12,widely distributed in warm countries,-1,,,
8523,n12061380,"['butterfly_orchid', 'Encyclia_tampensis', 'Epidendrum_tampense']",n12041446,"['orchid', 'orchidaceous_plant']",[],[],12,orchid of Florida and the Bahamas having showy brightly colored flowers; sometimes placed in genus Epidendrum,-1,,,
8524,n02760658,"['automatic_pistol', 'automatic']",n02760429,"['automatic_firearm', 'automatic_gun', 'automatic_weapon']",[],[],12,a pistol that will keep firing until the ammunition is gone or the trigger is released,-1,,,
8525,n01615121,['sea_eagle'],n01613294,"['eagle', 'bird_of_Jove']","['n01615458', 'n01615703', 'n01615303']","[['ern', 'erne', 'grey_sea_eagle', 'gray_sea_eagle', 'European_sea_eagle', 'white-tailed_sea_eagle', 'Haliatus_albicilla'], ['fishing_eagle', 'Haliaeetus_leucorhyphus'], ['Kamchatkan_sea_eagle', ""Stellar's_sea_eagle"", 'Haliaeetus_pelagicus']]",12,any of various large eagles that usually feed on fish,-1,,,
8526,n03112605,['corsair'],n03947888,"['pirate', 'pirate_ship']",[],[],12,a swift pirate ship (often operating with official sanction),-1,,,
8527,n01859496,"['tundra_swan', 'Cygnus_columbianus']",n01858441,['swan'],"['n01859852', 'n01859689']","[[""Bewick's_swan"", 'Cygnus_columbianus_bewickii'], ['whistling_swan', 'Cygnus_columbianus_columbianus']]",12,swan that nests in tundra regions of the New and Old Worlds,-1,,,
8528,n01984245,"['Norway_lobster', 'Nephrops_norvegicus']",n01982650,['lobster'],[],[],12,edible European lobster resembling the American lobster but slenderer,-1,,,
8529,n02441326,"['musteline_mammal', 'mustelid', 'musteline']",n02075296,['carnivore'],"['n02447366', 'n02443484', 'n02449350', 'n02449699', 'n02450034', 'n02442845', 'n02444819', 'n02443114', 'n02448318', 'n02445394', 'n02445715', 'n02451415', 'n02441942', 'n02449183']","[['badger'], ['black-footed_ferret', 'ferret', 'Mustela_nigripes'], ['glutton', 'Gulo_gulo', 'wolverine'], ['grison', 'Grison_vittatus', 'Galictis_vittatus'], ['marten', 'marten_cat'], ['mink'], ['otter'], ['polecat', 'fitch', 'foulmart', 'foumart', 'Mustela_putorius'], ['ratel', 'honey_badger', 'Mellivora_capensis'], ['sea_otter', 'Enhydra_lutris'], ['skunk', 'polecat', 'wood_pussy'], ['tayra', 'taira', 'Eira_barbara'], ['weasel'], ['wolverine', 'carcajou', 'skunk_bear', 'Gulo_luscus']]",12,fissiped fur-bearing carnivorous mammals,-1,,,
8530,n01726203,['nothosaur'],n01695681,"['archosaur', 'archosaurian', 'archosaurian_reptile']",[],[],12,extinct marine reptile with longer more slender limbs than plesiosaurs and less completely modified for swimming,-1,,,
8531,n12086539,['vanilla'],n12041446,"['orchid', 'orchidaceous_plant']",['n12086778'],"[['vanilla_orchid', 'Vanilla_planifolia']]",12,any of numerous climbing plants of the genus Vanilla having fleshy leaves and clusters of large waxy highly fragrant white or green or topaz flowers,-1,,,
8532,n02048698,['gaviiform_seabird'],n02021795,"['seabird', 'sea_bird', 'seafowl']",['n02049088'],"[['loon', 'diver']]",12,seabirds of the order Gaviiformes,-1,,,
8533,n02018795,['bustard'],n02000954,"['wading_bird', 'wader']","['n02019190', 'n02019438']","[['great_bustard', 'Otis_tarda'], ['plain_turkey', 'Choriotis_australis']]",12,large heavy-bodied chiefly terrestrial game bird capable of powerful swift flight; classified with wading birds but frequents grassy steppes,138,bustard,bustard,bird
8534,n02367812,"['mountain_chinchilla', 'mountain_viscacha']",n02329401,"['rodent', 'gnawer']",[],[],12,a rodent native to the mountains of Chile and Peru and now bred in captivity,-1,,,
8535,n01623110,"['barred_owl', 'Strix_varia']",n01621127,"['owl', 'bird_of_Minerva', 'bird_of_night', 'hooter']",[],[],12,large owl of eastern North America having its breast and abdomen streaked with brown,-1,,,
8536,n02501583,['tarsier'],n02469914,['primate'],"['n02502006', 'n02501923']","[['Tarsius_glis'], ['Tarsius_syrichta']]",12,nocturnal arboreal primate of Indonesia and the Philippines having huge eyes and digits ending in pads to facilitate climbing; the only primate that spurns all plant material as food living entirely on insects and small vertebrates,-1,,,
8537,n01624305,['hoot_owl'],n01621127,"['owl', 'bird_of_Minerva', 'bird_of_night', 'hooter']",[],[],12,any owl that hoots as distinct from screeching,-1,,,
8538,n01977485,"['stone_crab', 'Menippe_mercenaria']",n01976957,['crab'],[],[],12,large edible crab of the southern coast of the United States (particularly Florida),-1,,,
8539,n12069009,"['crested_coral_root', 'Hexalectris_spicata']",n12041446,"['orchid', 'orchidaceous_plant']",[],[],12,orchid with yellowish-brown flowers with dark veins; southeastern Arizona to the eastern United States,-1,,,
